proper_name,designation,ra_deg_j2000,dec_deg_j2000,hip,vmag
,67    Psc,13.9938,27.209381,4366,6.08
,22Phi3Cet,14.006205,-11.266526,4371,5.35
Castula,28Ups2Cas,14.16648,59.181056,4422,4.62
Cih,27Gam Cas,14.177145,60.71674,4427,2.15
,37Mu  And,14.188274999999999,38.499345,4436,3.86
,38Eta And,14.301675,23.417648,4463,4.4
,68    Psc,14.458965,28.992217,4510,5.44
,Alp Scl,14.65149,-29.357449,4577,4.3
,23Phi4Cet,14.682780000000001,-11.379975,4587,5.62
,Xi  Scl,15.326100000000002,-38.916527,4770,5.59
,Ome Phe,15.507570000000001,-57.002389,4829,6.12
,Sig Scl,15.610110000000002,-31.552005,4852,5.5
,69Sig Psc,15.704565000000002,31.804263,4889,5.5
,39    And,15.726105,41.345157,4903,5.95
,71Eps Psc,15.73587,7.890135,4906,4.27
,25    Cet,15.760575,-4.836601,4914,5.4
,26    Cet,15.954285000000002,1.366846,4979,6.06
Nenque,,16.16742,-39.488217,5054,7.72
,73    Psc,16.21932,5.656262,5074,6.03
,72    Psc,16.272315,14.946133,5081,5.64
,27    Cet,16.403685000000003,-9.979323,5121,6.09
,74Psi1Psc,16.420634999999997,21.473181,5131,5.33
,74Psi1Psc,16.423785,21.465442,5132,5.55
,77    Psc,16.45512,4.908372,5141,6.35
,77    Psc,16.46433,4.90941,5144,7.26
,Bet Phe,16.521105,-46.718414,5165,3.32
,28    Cet,16.521449999999998,-9.839354,5164,5.58
,75    Psc,16.640114999999998,12.956039,5204,6.14
,Iot Tuc,16.827569999999998,-61.775289,5268,5.36
,30    Cet,16.94253,-9.78555,5296,5.71
,Ups Phe,16.949355,-41.486916,5300,5.21
,79Psi2Psc,16.98816,20.739113,5310,5.56
,41    And,17.003385,43.942092,5317,5.04
,78    Psc,17.005515000000003,32.01213,5319,6.23
,30Mu  Cas,17.062155,54.92034,5336,5.17
,80    Psc,17.0925,5.649819,5346,5.51
Wurren,Zet Phe,17.096130000000002,-55.24576,5348,3.94
,31Eta Cet,17.147460000000002,-10.182264,5364,3.46
,42Phi And,17.37552,47.241792,5434,4.26
Mirach,43Bet And,17.43291,35.620558,5447,2.07
,81Psi3Psc,17.455005,19.658408,5454,5.57
,32    Cet,17.549775,-8.906135,5485,6.4
,44    And,17.5782,42.081475,5493,5.67
,33    Cet,17.639805,2.44567,5510,5.97
,31    Cas,17.663684999999997,68.778621,5518,5.32
Emiw,,17.696355,-66.188164,5529,8.06
,33The Cas,17.775255,55.149901,5542,4.34
,82    Psc,17.778195,31.424736,5544,5.15
,45    And,17.792835,37.724121,5550,5.8
,84Chi Psc,17.86341,21.03465,5571,4.66
,83Tau Psc,17.91513,30.089638,5586,4.51
,32    Cas,17.922435,65.018854,5589,5.57
,34    Cet,17.931285,-2.251079,5594,5.93
Revati,86Zet Psc,18.432855,7.575354,5737,5.21
,85Phi Psc,18.43728,24.583713,5742,4.67
Revati B,86Zet Psc,18.4386,7.578261,5743,6.44
,87    Psc,18.531795,16.133479,5778,5.97
,37    Cet,18.600165,-7.922826,5799,5.14
,88    Psc,18.676635,6.995136,5824,6.04
,38    Cet,18.704880000000003,-0.973795,5833,5.7
,Nu  Phe,18.795645,-45.531664,5862,4.97
,Kap Tuc,18.94056,-68.875927,5896,4.25
,39    Cet,19.151205,-2.500368,5951,5.42
,89    Psc,19.44981,3.614466,6061,5.13
,90Ups Psc,19.866645000000002,27.264059,6193,4.74
,42    Cet,19.95123,-0.509029,6226,5.87
,34Phi Cas,20.020485,58.231611,6242,4.95
,35    Cas,20.27175,64.658131,6312,6.33
,91    Psc,20.280705,28.738207,6315,5.23
Adhil,46Xi  And,20.585054999999997,45.528778,6411,4.87
,43    Cet,20.645129999999998,-0.449673,6429,6.5
,47    And,20.91918,37.714943,6514,5.6
,45The Cet,21.00585,-8.183257,6537,3.6
,44    Cet,21.010575000000003,-8.007416,6539,6.21
Bélénos,,21.302069999999997,28.566693,6643,7.12
,46    Cet,21.405135,-14.598796,6670,4.9
Ruchbah,37Del Cas,21.453239999999997,60.235283,6686,2.66
,36Psi Cas,21.48312,68.130012,6692,4.72
,93Rho Psc,21.563595,19.172346,6706,5.35
,94    Psc,21.67365,19.240422,6732,5.5
,47    Cet,21.714855,-13.056512,6748,5.51
,48Ome And,21.913725,45.406687,6813,4.83
,Gam Phe,22.091385,-43.318234,6867,3.41
,48    Cet,22.400550000000003,-21.629339,6960,5.11
,97    Psc,22.470254999999998,18.355669,6981,6.01
,49    And,22.525425,47.007274,6999,5.27
,98Mu  Psc,22.546305,6.14382,7007,4.84
,38    Cas,22.806659999999997,70.264604,7078,5.82
,Del Phe,22.812765,-49.072702,7083,3.93
Alpherg,99Eta Psc,22.870875,15.345823,7097,3.62
,39Chi Cas,23.48292,59.23204,7294,4.68
,49    Cet,23.6574,-15.676359,7345,5.62
,101    Psc,23.94351,14.661422,7436,6.23
,50    Cet,23.995694999999998,-15.400183,7450,5.41
,Tau Scl,24.035415,-29.907317,7463,5.69
Titawin,50Ups And,24.199485,41.405459,7513,4.1
,102Pi  Psc,24.274649999999998,12.141535,7535,5.54
Achernar,Alp Eri,24.42834,-57.236757,7588,0.45
Nembus,51    And,24.498075,48.628213,7607,3.59
,40    Cas,24.62889,73.04004,7650,5.28
,52Chi And,24.837525,44.386165,7719,5.01
,105    Psc,24.92007,16.405858,7740,5.98
p Eridani,,24.947535,-56.1964,7751,5.76
,53Tau And,25.145055,40.577049,7818,4.96
,Tau1Hyi,25.33884,-79.1482,7879,6.33
,106Nu  Psc,25.35789,5.487613,7884,4.45
,Pi  Scl,25.535835,-32.32697,7955,5.25
,43    Cas,25.585320000000003,68.043021,7965,5.57
,107    Psc,25.62405,20.268504,7981,5.24
,42    Cas,25.732395,70.622526,8016,5.18
,44    Cas,25.832265,60.551332,8046,5.78
,Phi Per,25.915125,50.688732,8068,4.01
,52Tau Cet,26.017185,-15.93748,8102,3.49
,109    Psc,26.232615000000003,20.083149,8159,6.27
Torcular,110Omi Psc,26.34846,9.157736,8198,4.26
,Eps Scl,26.411445,-25.05261,8209,5.29
,Tau2Hyi,26.944365,-80.176311,8366,6.05
,4    Ari,27.045569999999998,16.955551,8387,5.86
,53Chi Cet,27.39627,-10.68641,8497,4.66
,1    Ari,27.53571,22.275338,8544,5.83
Baten Kaitos,55Zet Cet,27.86514,-10.335038,8645,3.74
,1    Per,27.99714,55.147385,8704,5.53
,2    Per,28.03902,50.792794,8714,5.7
Mothallah,2Alp Tri,28.27044,29.578829,8796,3.42
,55    And,28.32228,40.72979,8814,5.42
Mesarthim,5Gam2Ari,28.38255,19.293852,8832,3.88
,111Xi  Psc,28.388955000000003,3.187536,8833,4.61
,Psi Phe,28.41153,-46.302669,8837,4.39
,Phi Phe,28.59183,-42.49695,8882,5.12
Segin,45Eps Cas,28.598760000000002,63.670101,8886,3.35
Sheratan,6Bet Ari,28.66002,20.808035,8903,2.64
,Eta2Hyi,28.73358,-67.647303,8928,4.68
,Sig Hyi,28.95963,-78.348548,8991,6.15
,7    Ari,28.96266,23.577322,8993,5.76
,Chi Eri,28.98846,-51.608896,9007,3.69
,46Ome Cas,29.000055,68.685242,9009,4.97
,56    And,29.038905,37.25183,9021,5.69
,56    Cet,29.167485,-22.526785,9061,4.92
,8Iot Ari,29.33772,17.817532,9110,5.09
,9Lam Ari,29.48217,23.596061,9153,4.79
,3    Per,29.639595,49.204352,9222,5.7
,Alp Hyi,29.691765,-61.569859,9236,2.86
,57    Cet,29.942490000000003,-20.824539,9326,5.43
,59Ups Cet,30.001260000000002,-21.077831,9347,3.99
,112    Psc,30.038159999999998,3.097015,9353,5.89
,Pi  For,30.311385,-30.00183,9440,5.34
,Chi Phe,30.426599999999997,-44.713509,9459,5.15
,48    Cas,30.489659999999997,70.90702,9480,4.49
Alrescha,113Alp Psc,30.511755,2.763759,9487,3.82
,4    Per,30.575384999999997,54.487541,9505,4.99
,52    Cas,30.718694999999997,64.901466,9564,6.0
,3Eps Tri,30.741495,33.284135,9570,5.5
,53    Cas,30.75078,64.390018,9573,5.59
,60    Cet,30.798540000000003,0.128507,9589,5.42
,50    Cas,30.85902,72.421294,9598,3.95
,10    Ari,30.913905,25.935471,9621,5.64
,61    Cet,30.950715000000002,-0.340251,9631,5.96
Almach,57Gam1And,30.97476,42.329725,9640,2.1
,Nu  For,31.122660000000003,-29.296819,9677,4.68
,47    Cas,31.279725,77.281341,9727,5.27
,49    Cas,31.381544999999996,76.11506,9763,5.22
,12Kap Ari,31.641345,22.648317,9836,5.03
,11    Ari,31.70514,25.704553,9859,6.01
Hamal,13Alp Ari,31.793325000000003,23.462423,9884,2.01
,58    And,32.121809999999996,37.859077,9977,4.78
,14    Ari,32.355540000000005,25.939892,10053,4.98
,4Bet Tri,32.38587,34.987297,10064,3.0
,15    Ari,32.656635,19.500338,10155,5.68
,59    And,32.72013,39.039526,10176,6.09
,59    And,32.723625,39.043286,10180,6.82
,16    Ari,32.80023,25.936938,10203,6.01
,64    Cet,32.837835,8.569805,10212,5.64
,5    Tri,32.854245,31.526398,10220,6.24
,5    Per,32.871645,57.645543,10227,6.38
,63    Cet,32.899305000000005,-1.825429,10234,5.94
,6    Tri,33.092865,30.303067,10280,4.94
,66    Cet,33.19809,-2.393637,10305,5.65
,17Eta Ari,33.200325,21.210993,10306,5.23
,Mu  For,33.226949999999995,-30.723825,10320,5.27
,65Xi 1Cet,33.249975,8.846717,10324,4.36
,19    Ari,33.26376,15.27986,10328,5.72
,60    And,33.305535,44.231652,10340,4.84
,Pi 1Hyi,33.56049,-67.841441,10418,5.57
,55    Cas,33.621255000000005,66.524428,10438,6.05
,Pi 2Hyi,33.8691,-67.746366,10513,5.67
,21    Ari,33.928259999999995,25.043043,10535,5.57
,20    Ari,33.941835000000005,25.782937,10540,5.79
,7    Tri,33.984525,33.358895,10559,5.25
,Phi Eri,34.12731,-51.512165,10602,3.56
,67    Cet,34.24602,-6.422116,10642,5.51
,8Del Tri,34.262865,34.224231,10644,4.84
,9Gam Tri,34.328595,33.847194,10670,4.03
,8    Per,34.4994,57.89982,10718,5.75
,7    Per,34.519125,57.516321,10729,5.99
,22The Ari,34.53141,19.901164,10732,5.58
,10    Tri,34.737465,28.642674,10793,5.29
,62    And,34.820055,47.379973,10819,5.31
Mira,68Omi Cet,34.83663,-2.977643,10826,6.47
,63    And,35.242484999999995,50.151466,10944,5.57
,Del Hyi,35.43747,-68.659418,11001,4.08
,69    Cet,35.48595,0.395675,11021,5.29
,70    Cet,35.55165,-0.884852,11046,5.42
,9    Per,35.589315,55.845653,11060,5.16
,Kap For,35.63556,-23.816326,11072,5.19
,Kap Hyi,35.71845,-73.645792,11095,5.99
,64    And,36.103784999999995,50.006546,11220,5.19
,24Xi  Ari,36.204405,10.610565,11249,5.48
,Lam Hor,36.224805,-60.311947,11258,5.36
,71    Cet,36.243285,-2.780031,11261,6.34
,10    Per,36.316785,56.609823,11279,6.25
,65    And,36.4059,50.278631,11313,4.73
,72Rho Cet,36.487514999999995,-12.29048,11345,4.88
,Kap Eri,36.746325,-47.70384,11407,4.24
,11    Tri,36.865725,31.80128,11432,5.55
,66    And,36.9657,50.569974,11465,6.16
,Phi For,37.007085,-33.811039,11477,5.13
,73Xi 2Cet,37.039755,8.460054,11484,4.3
,12    Tri,37.041585,29.66933,11486,5.29
,13    Tri,37.202085,29.93176,11548,5.89
,Iot Cas,37.266555,67.402474,11569,4.46
,26    Ari,37.660064999999996,19.855301,11678,6.14
,27    Ari,37.72665,17.703856,11698,6.21
,Mu  Hyi,37.91751,-79.109382,11757,5.27
Polaris,1Alp UMi,37.94625,89.264109,11767,1.97
,76Sig Cet,38.02179,-15.244677,11783,4.74
,14    Tri,38.02567500000001,36.147271,11784,5.15
,75    Cet,38.03925,-1.034896,11791,5.36
,29    Ari,38.22558,15.034554,11843,6.0
,Lam1For,38.27928,-34.649967,11867,5.91
,Ome For,38.461275,-28.232343,11918,4.96
,77    Cet,38.677605,-7.859445,12002,5.74
,15    Tri,38.94504,34.687558,12086,5.38
,78Nu  Cet,38.968635,5.593246,12093,4.87
,80    Cet,39.000195000000005,-7.831597,12107,5.53
268 G. Cet,,39.020355,6.88687,12114,5.79
,Iot1For,39.038610000000006,-30.044978,12122,5.74
,31    Ari,39.157965,12.447639,12153,5.64
,30    Ari,39.240555,24.648063,12184,7.1
,Lam2For,39.244215,-34.577977,12186,5.78
,30    Ari,39.25215,24.647222,12189,6.48
Buna,,39.258,42.062633,12191,7.28
,Eta Hor,39.351375000000004,-52.543086,12225,5.3
,81    Cet,39.42417,-3.396175,12247,5.65
,Iot2For,39.577725,-30.194062,12288,5.84
,32Nu  Ari,39.704145,21.961408,12332,5.45
,82Del Cet,39.87066,0.328511,12387,4.08
,83Eps Cet,39.890969999999996,-11.872156,12390,4.83
,Eps Hyi,39.896985,-68.266946,12394,4.12
,Zet Hor,40.164989999999996,-54.549911,12484,5.21
,Iot Eri,40.166714999999996,-39.855375,12486,4.11
,33    Ari,40.171125,27.060943,12489,5.3
,84    Cet,40.308330000000005,-0.695653,12530,5.72
,12    Per,40.56216,40.193944,12623,4.91
,34Mu  Ari,40.59141,20.011465,12640,5.74
,Iot Hor,40.638974999999995,-50.800294,12653,5.4
,11    Per,40.761765000000004,55.106019,12692,5.76
Kaffaljidhma,86Gam Cet,40.82517,3.235818,12706,3.47
,35    Ari,40.86297,27.707146,12719,4.65
,14    Per,41.02149,44.29704,12768,5.43
,89Pi  Cet,41.030625,-13.858696,12770,4.24
,13The Per,41.04951,49.228448,12777,4.1
,36    Ari,41.07963,17.763928,12784,6.4
,37Omi Ari,41.137395,15.311862,12803,5.78
,87Mu  Cet,41.235585,10.114146,12828,4.27
,38    Ari,41.239920000000005,12.445761,12832,5.17
,1Tau1Eri,41.275725,-18.572563,12843,4.47
,Gam Hor,41.364435,-63.704553,12871,5.73
,Zet Hyi,41.38572,-67.616617,12876,4.83
Koeia,,41.678625,-23.086611,12961,10.25
,Eta1For,41.89065,-35.550621,13040,6.51
Lilii Borea,39    Ari,41.9772,29.247118,13061,4.52
,40    Ari,42.133695,18.28379,13108,5.83
,Nu  Hor,42.25593,-62.806521,13141,5.25
,Bet For,42.272535000000005,-32.405898,13147,4.45
,42Pi  Ari,42.323159999999994,17.464309,13165,5.26
Nushagak,,42.43488,71.753232,13192,8.17
,Gam1For,42.46236,-24.560311,13197,6.14
,Gam2For,42.47574,-27.941981,13202,5.39
Bharani,41    Ari,42.495945,27.260507,13209,3.61
,Eta2For,42.56157,-35.843636,13225,5.92
,Nu  Hyi,42.618825,-75.066947,13244,4.76
,16    Per,42.645945,38.318644,13254,4.22
,Eta3For,42.668355,-35.675849,13265,5.48
Miram,15Eta Per,42.674175,55.895496,13268,3.77
Angetenar,2Tau2Eri,42.759675,-21.004019,13288,4.76
,43Sig Ari,42.87327,15.082071,13327,5.52
,17    Per,42.87849,35.059741,13328,4.56
,Psi For,43.393275,-38.437004,13473,5.93
,20    Per,43.42752,38.337488,13490,5.34
,18Tau Per,43.564425,52.762479,13531,3.93
,45Rho2Ari,43.95207,18.33164,13654,5.76
Azha,3Eta Eri,44.10687,-8.898144,13701,3.89
,46Rho3Ari,44.108940000000004,18.023119,13702,5.58
,21    Per,44.32201499999999,31.934219,13775,5.1
,4    Eri,44.349,-23.862164,13782,5.44
,47    Ari,44.52171,20.668733,13834,5.8
,6    Eri,44.52387,-23.606012,13835,5.82
Acamar,The1Eri,44.565345,-40.304672,13847,2.88
,22Pi  Per,44.69028,39.662728,13879,4.68
,Bet Hor,44.699085,-64.071284,13884,4.98
,24    Per,44.76534,35.183128,13905,4.94
,48Eps Ari,44.80302,21.340429,13914,4.63
,Zet For,44.900715,-25.274133,13942,5.69
,5    Eri,44.921504999999996,-2.464952,13951,5.56
,91Lam Cet,44.92875,8.907365,13954,4.71
Ayeyarwady,,45.044415,-20.802604,13993,7.81
,7    Eri,45.211995,-2.878618,14040,6.11
,8Rho1Eri,45.291765,-7.663012,14060,5.75
,Eps For,45.406724999999994,-28.091554,14086,5.88
,49    Ari,45.47559,26.462354,14109,5.91
,The Hyi,45.564225,-71.902457,14131,5.51
Menkar,92Alp Cet,45.56988,4.089734,14135,2.54
,93    Cet,45.59382,4.352884,14143,5.62
,11Tau3Eri,45.597945,-23.624472,14146,4.08
,9Rho2Eri,45.67614,-7.685472,14168,5.32
,Mu  Hor,45.903585,-59.737775,14240,5.12
,10Rho3Eri,46.06881,-7.600857,14293,5.26
,23Gam Per,46.19913,53.50644,14328,2.91
,25Rho Per,46.29405,38.840274,14354,3.32
,52    Ari,46.361205,25.255174,14376,5.45
,53    Ari,46.85697,17.879995,14514,6.13
Algol,26Bet Per,47.04222,40.955648,14576,2.09
,54    Ari,47.087954999999994,18.795053,14586,6.24
,Iot Per,47.265075,49.613278,14632,4.05
Misam,27Kap Per,47.37387,44.857544,14668,3.79
,55    Ari,47.40309,29.07708,14677,5.74
,28Ome Per,47.822444999999995,39.611582,14817,4.61
Botein,57Del Ari,47.90733,19.726677,14838,4.35
Dalim,Alp For,48.018735,-28.987618,14879,3.8
,56    Ari,48.059355,27.256968,14893,5.78
,94    Cet,48.193485,-1.196101,14954,5.07
,58Zet Ari,48.7254,21.044441,15110,4.87
Zibal,13Zet Eri,48.958439999999996,-8.81973,15197,4.8
,Iot Hyi,48.989264999999996,-77.388454,15201,5.51
,14    Eri,49.14903,-9.154676,15244,6.14
,Zet1Ret,49.438545,-62.575322,15330,5.53
,30    Per,49.447275000000005,44.025024,15338,5.49
,Zet2Ret,49.549635,-62.506363,15371,5.24
,15    Eri,49.5921,-22.511118,15382,4.86
,95    Cet,49.593435,-0.930288,15383,5.62
,29    Per,49.65723,50.222174,15404,5.16
,31    Per,49.781805,50.094966,15444,5.05
,96Kap1Cet,49.840395,3.370198,15457,4.84
,16Tau4Eri,49.87917,-21.757864,15474,3.7
82 G. Eri,,49.97916,-43.069784,15510,4.26
,59    Ari,49.98249,27.071134,15514,5.91
,60    Ari,50.106555,25.662739,15557,6.14
Intan,,50.177745,-33.730104,15578,9.92
,97Kap2Cet,50.27835,3.67562,15619,5.7
,61Tau1Ari,50.306760000000004,21.147086,15627,5.27
,32    Per,50.360715,43.329651,15648,4.96
,62    Ari,50.549549999999996,27.607553,15696,5.55
,63Tau2Ari,50.68851,20.742069,15737,5.1
,64    Ari,51.07698,24.724063,15861,5.5
Mirfak,33Alp Per,51.08067,49.86118,15863,1.79
,65    Ari,51.108825,20.803489,15870,6.07
,1Omi Tau,51.20331,9.02887,15900,3.61
,Chi1For,51.482654999999994,-35.920885,15987,6.39
,2Xi  Tau,51.7923,9.73268,16083,3.73
,Chi2For,51.889215,-35.681323,16112,5.71
